Date,Earth,Plague,Wind,Water,Lightning,Ice,Shadow,Light,Arcane,Nature,Fire,Notes,Total,,
6/8/2013,30,80,169,57,85,72,126,91,115,95,59,mmmm just found some hidden gems,979,,
6/19/2013,464,1295,1470,796,1333,796,1485,1000,1548,1220,841,in a necro post in the ice forums,12248,,
7/9/2013,803,2421,3302,1509,2429,1663,2092,1761,2903,2229,1576,-12/17/18 squid <3,22688,,
7/14/2013,887,2737,3740,1701,2726,1934,3299,1984,3273,2486,1763,rip one of them is missing light tho oh well,26530,,
9/13/2013,1080,3448,4732,2205,3513,2600,4223,2581,4207,3205,2203,,33997,,
10/21/2013,1088,3457,4723,2203,3515,2675,4241,2596,4181,3200,2195,,34074,,
10/24/2013,1323,4354,5738,2691,4362,3617,5138,3282,5170,3965,2759,After registration period,42399,,
10/27/2013,1340,4401,5716,2692,4418,3719,5111,3357,5131,3936,2798,,42619,,
11/4/2013,1361,4449,5667,2680,4444,3848,5064,3418,5054,3929,2814,,42728,,
11/12/2013,1370,4455,5627,2687,4464,3917,5054,3443,5029,3934,2820,After small registration,42800,,
12/22/2013,1383,4442,5558,2677,4528,4118,5012,3493,4942,3892,2803,,42848,,
12/27/2013,1382,4441,5557,2674,4530,4135,5007,3500,4931,3886,2805,,42848,,
1/21/2014,1382,4425,5531,2676,4533,4230,4975,3543,4909,3860,2807,,42871,,
2/16/2014,1396,4415,5496,2666,4548,4303,4970,3577,4876,3839,2809,,42895,,
2/25/2014,1396,4416,5489,2672,4549,4309,4977,3590,4863,3825,2811,,42897,,
4/3/2014,1402,4417,5494,2665,4561,4327,4957,3623,4830,3811,2816,,42903,,
4/13/2014,1403,4421,5475,2667,4564,4331,4958,3641,4820,3808,2814,,42902,,
4/15/2014,1848,6083,7859,3779,6278,5434,7146,4959,7486,5821,3732,After registration period,60425,,
4/21/2014,1872,6166,7955,3820,6382,5552,7201,5094,7547,5891,3804,,61284,,
4/27/2014,1871,6169,7954,3835,6395,5604,7198,5131,7508,5889,3808,,61362,,
5/3/2014,1871,6170,7944,3858,6402,5638,7194,5155,7496,5885,3818,,61431,,
5/7/2014,1879,6171,7934,3850,6422,5665,7187,5162,7482,5884,3812,,61448,,
5/26/2014,1878,6157,7916,3846,6428,5746,7187,5205,7423,5885,3828,,61499,,
6/2/2014,1880,6156,7897,3846,6419,5776,7189,5220,7419,5888,3827,,61517,,
6/4/2014,2335,7810,10353,5100,8160,6977,9453,6629,10329,7902,4899,After registration period,79947,,
8/14/2014,2374,7913,10284,5117,8415,7404,9482,6945,10184,7792,4966,Huge data break here,80876,,
8/19/2014,2374,7919,10274,5120,8413,7426,9470,6951,10178,7779,4974,,80878,,
